Original_Value,Scrambled_Value
ACP-TMF641,A1M4P-FC6T
ACP-TMF651,5CAMP-T61F
CSPS - SE,E -PS SCS
PSL,SLP
EDW,WDE
LCLNetworkTeamApplications,wpLoteaiaAsncirkomTlNeptCL
FlowDev,woevDlF
sd3,ds3
NOWIEDS,SDENWIO
GRP-OE&A PSA,&GR EA-PAOPS
ATTBDAS,ABTATSD
CIAM-ILM,MICI-LMA
uDAS,uASD
GDASDB,ABGSDD
CFP,FPC
CAPES,EACSP
FVA,VFA
CDONext,DeCNtOx
SDDA-Cosmos,Dom-sSCosAD
ECO-M,E-MCO
CGAIP,GPIAC
NeonNOW,nNNeOWo
KSI,ISK
vSILB,vSLBI
CLDMTR,TMDCRL
OVALS GIS,SAO ISGLV
Translore,onslarrTe
271 DSS PM1,S 71PD 2M1S
CERA,AREC
FITCOM,TIOFCM
CFG,FCG
LYK,YKL
SCAP,SPAC
GRP-MFE ETE/PVT Test, P/TR-EMFTGsETPtV Ee
NOWAB,BANWO
ADD-SNAP,AS-ANPDD
GRP-TVM OWS, RPTGSW-MOV
NowSecure,creuewoNS
CPTAT,TPCTA
autx,xtau
STAGS,STAGS
MOBEPC,BEOPCM
CPIM,CPMI
SIDB,DSBI
CLP,LCP
Investors,otsresnvI
m-BCDO,-OBDCm
LIPD D1,IPD1L D
GDF1.5,GF.D15
BDAMart 2.0, taMDBAr20.
Event Portal,lvPrtE otnae
dsTest,essTtd
ACWP,AWCP
QSDWS,SSQDW
ToDo,TooD
MAID,AIDM
Cricket WhatFix,rektxiWcitCa hF
Cricket akt POS,trcS kCO ekPait
GRP - MCDRWEB,WRR BEPMCDG -
MOWLI,MIWLO
GRP - MVERTICA,APC-ERGITM VR 
NOWOMTM,OWOTMNM
NOWTNITM,NWTTIMNO
ROSETTA,ROETAST
MIM,MIM
NOWSubmetrics,etuNsriWmbSOc
LOGS-LAB-FN,L-NLGO-ABSF
GRP-NETSYS-E2E-SIL,2LTE---ERYISENSPSG
CSO-ENTERPRISE-VFW,S-SENE-FROVWRECTIP
ATTCFA,ATATCF
DACS-OSS,SSOD-SAC
CMSU,CUMS
FMRKT,RMTFK
SSCFinance,anSCnFiSce
OMC-cMME,MCOMEM-c
vUSP,UPSv
AutoQM,MuQoAt
Action Audit Control,t tcAornoid ClniAotu
CMI Tool,I ColMoT
NOWTenantPortal,OtNTaeaWnrtPnol
ModTS,TodMS
SDDA - Safety,f D eD-ySaAtS
NetBrain,eBanNrti
CMRS,SRCM
DTSK,KSDT
OAST,ATSO
USPe CBIS,SUBP eCSI
QM-LSCRM-LSOMS,O-SQLSLM-RMSMC
iRequestCM,eseqtMiuRC
DOMS,MDSO
CCMS ServiceNow,SSvw rCiCeNcoeM
GAM,GAM
SF:NOD,NOSF:D
GRP-DASSPT-SCMVS,APSSVTMDSCRPS-G-
MOBNT-RSS_LAB,BSMLRSTN_-BAO
BSSe-C1,B1eCSS-
Prognosis-S-d,s-nigoodrs-PS
Prognosis-S,onrgisSP-os
NetBrain - S,N iSareBtn -
GTAC - S,C SA-GT 
GVMDP,DVGPM
wifi-con_auth,faohic-u_niwt
DOJTSC,SCDTJO
Trinity,irniTty
IDM Informix ODBC Drivers,BDiri I rOeIxDm MCfnDsvro
S2P Intg Framework,orePt2Igk wrnmaSF 
HR Link - Github,R-bHthknu iLi  G
NOWGPS,GONWPS
DQC,CQD
MOB-SCP,-PMBCOS
ISMACFLOW,AILOMSCFW
SmERP,RmPES
UZWAC,ZWACU
DATP,TPDA
ACME,EAMC
Event Management Ops Portal,Pslmntnoe vpntEaaaeMrOget  
LRS,LSR
BFS,FSB
ICAP-VM,-PIMVCA
SYSTOOLSCOE,OCOEOSYSLTS
OLM JDA,MDAOJ L
WholesaleCMA,eWeMoClsaAhl
NOWATTNOWSC,NNOWCTOWSAT
Facepage,agecpFea
pUSP - pCTS (FirstNet Dedicated),U reiti)TpdCtSpeSaP F(cD-t d esN
MOBNT-mRep/MSIS,MSINeS/RBOTmp-M
PTC,CPT
DTV-STMS,SVT-TDSM
DTV TS&RTV,RTDVVT S&T
DTV IPTV,TVPV TDI
NQP_probe_dw,erPwobpN_Q_d
OSP_CPP,OPPPS_C
pUSP - pMGW,U SWMpP-p G
FN APM MCPTT,NFAPPM T TCM
NSEPDRSFS,FSDRSPESN
Fed_ProDiver,dvPe_iFoDrer
ABC,ACB
AVOICS-AS,CIS-VAAOS
SSC,SSC
Ericsson ENM,soMscEiNrn E
AOtX,XAOt
PSS-SP,SPPS-S
ADSL QUAL,SLLUA AQD
pUSP - pPS-XDMS,p -S PMDPXSS-pU
NSDB,DSBN
LAB-MDNS,NLSA-MBD
HR Employee Profile,yre ooHElPf eRpeiml
FieldG,FeldGi
NAAP,NPAA
CMDB,MCBD
MoWOpsReports,ssRopOMpWoert
CQEDA,AECDQ
OBM for JUTnet,foJteUT O nBMr
HR Lifecycle Events,cRHtsynvEeefi  Llec
pUSP-LIG-CALEA,AELPISAGpL-U-C
ICE,CIE
CARE-ECS,RE-CCASE
ST_OSSLITE,ST_LOTSSIE
i-Performance,iaefP-oerrcmn
PPA,PPA
NQP Infovista,tinaIovsQfPN 
SFL_DB,BDLS_F
BM,BM
NAL,LAN
BERT,TEBR
BSLOVP,BLSVOP
IDP-PLATFORM-CICD,IDCLTFDI-RMPAOCP-
SUP,UPS
vAC-SMS,S-MSACv
PED,PED
pUSP - pCCF,SCp CpUP- F
AMVOTS,OVAMST
iHROneStop,eSHnitORop
ADOPT,APDOT
FNLR,FNLR
BDR,BRD
GRP-IGEMSCOE,E-IREGSMGPCO
Kana Response-C,nspoeRanes aC-K
BDAM,BDMA
AXIOM_OracleVM,AVOeaX_IOMclMr
LMC,CLM
SDM,DSM
SD-WAN-AES,DS-ENWAAS-
ASF,SAF
ROME,RMEO
IDM,MID
OAH,HAO
PD,PD
HRNEXUS,XNHUSER
ICIM,ICMI
CMPTSN,NCMTSP
IDP-Upper Funnel Cloud,ePlDU-FupnrIpuld  eCno
SHAKEN,ESHAKN
SAS-VP,-VPASS
NBO,NBO
BMP Transaction,aPrcsi BMntnToa
BMP MO (Circuit), BMr MuOC(tc)Pii
BLEAP,PBALE
DTV AMES,STAEDVM 
(FED) - DTV-ENG,(V-E)FTDEGN D- 
(FED) - DTV-HCAS,AHD)CVE - (DF-ST
Taleo,elaoT
Core Services,eCSrier cevos
WSS,SWS
MOG-DSLSE,LSGD-OESM
FROSTWEB,TEFBWSRO
LISN,LSIN
AGP,GPA
AIPSECREP,EERACPPSI
(FED) - HR General, e RHr(En)-GFl aDe
MDNCN,CDMNN
DMP,PDM
TDICE,CEDTI
IC/RED,IDE/RC
HVCP,CPVH
Sales Express,psrseEx lasSe
SDN-SMS,SS-DNSM
Eloqua - FirstNet,siNoueql-taE t rF
AQE,QEA
Action Audit Control-S,cotnCodA tuot-lnAiiS r
Atlas iOS,A ilstaOS
RUBY,BYUR
911SAAS-Carbyne,A9brSyC1AnaS1e-
Cricket CLMO,ctkLCreCMi O
Cricket-CRILOGIN access,RGIcstcICikesc- eNarOCL
Cricket ASR, iRcCAtkSer
Cricket Lucid,i cCidtuLrkec
Cricket LeanIX,neiCLkct aIerX
GRP-CTS - ACSI Triage,- TieIa GPC gC-ATSrRS
Cricket-RACC,CRCtieCcrAk-
SOLARR,LSRRAO
SBS,SBS
NR-CUDR CUDSF,C DSFN-RUURCD
THRIFTY-AS400,0FHS-T0RA4YTI
WATS/SOP,PSTAOS/W
PACMS,PCMAS
AM,MA
VFPT,TPFV
TCS Adjuncts,sCdcjt TASnu
USPINFRA,IUFNARSP
BvoipInfra,aopvfirIBn
Telemetry OMS TOOL,S TMreOlOteTOeL my
BGTMOINFR,GONIMBRFT
AIN-SDB,BDASIN-
Cisco Jabber,borscCJeba i
Toll-Free Mass Prov,l -PsrlFMoTve asreo
MOBNT-FDA,MAT-OBNDF
iGEMS-APC Main,-ECAMSMiP inaG
AREA,ERAA
BB2FW,WFB2B
NCOPMT,PTNMOC
AUTOX,XUTAO
RT2TS,T2SRT
CNMC,CCMN
vSCP,vPCS
FN-CUDR-CUDSF-Ericsson,-N-sUoCECiFFrsR-nDUSDc
ESMV,VSEM
FN-NRF,FFRNN-
NR-NSSF,R-NSNFS
USPENUM,SUPUMEN
SIA-NOW,NOAW-SI
GICECAP-PTMI,AEPCPGMTIC-I
GICECAP-FOLM,PG-CIMFLCAOE
L1-RTA,1RTA-L
GICECAP-TES,IC-GTCEPSEA
NetScout nG1,Sutt1NoeGn c
Cricket CustomPoint,toeCoPtrnms itkcCiu
AIN/SMS,/ISAMSN
CCOCAN,NOCCAC
APRS,RAPS
NIR HSS,SHIRNS 
Ribbon-USP-BRX,-SRXnb-oRBUbPi
POLO,OOPL
CDO-AWSCS,DCWCS-SAO
CDO-ACS,CDAOS-C
ECTH,EHCT
ERP,PRE
AD,AD
BOIS,IOBS
MS SCORCH, MSOHRCCS
MS SCOM,MMSCSO 
SM-DP+,MDP+-S
FOBSFDC,FDCFOBS
CSOTE,SOCET
SGI Auto VMs,AtsV Mu SIGo
ATTBusinessNow,NneowAsuBiTTss
SNOW - UCG,OWUNG  S-C
APSC,ACPS
VWA Web Tools,eolAoV T WWbs
Order,Oedrr
vDiFW,WFDvi
Healthcare CGT,traeTHCal cheG
DTV-BO-CTS,B-VO-TTDSC
iGEMS-JS-Basic-Platform-S,Gm--raSlaiJStsBocfPSiEM--
Harbor,braoHr
vSRX-LAB-BB,-XBA-vLSBBR
OSP,PSO
ADD-Management,eMgneAaanm-tDD
CANOPI,CPIAON
Oracle INV,aVreNlOcI 
GBBSO - BRMAT,OMABGS RB B-T
GFDRT,TFGRD
NOWTICSO,WCNIOTOS
MTaaS,TaSaM
CSSMSphere,ShSrSpeCeM
NOWVMS,VWNOMS
NOWMSIM,SIWNMMO
NOWVRIV,RVONIWV
RAINBOW-SD,-NDORIBASW
Azure-EHA,rAz-EeHuA
BDI Snowflake,nlBw DIfaSeko
DEFAULT PID,UDEALPIFD T
DARS,ADSR
StAR (FIR),t FISA)R(R
MKTBCI,CIKMBT
DLP,LDP
Pricing_AI,Anr_iicgPI
ERBI,REIB
IMPACT,AMITCP
GRP-DSOI,IRPOSGD-
NEO-Grafana,aGnOaEfra-N
SORT - Wholesale,oR e -WTllhsaeOS
NOWDevOpsCatalogReq,pODgNWRlaCetoqsvaeO
ENOW,ENOW
BTTW,TBTW
DCS OSM,CMD SSO
BIPS,IPBS
USPe NCP,e NPUSPC
FGDB,FGBD
CDG CABS,SBDGCC A
PASCAL,PAASLC
TMPS,MPTS
MPDM,PMMD
CCWRT,TWCCR
DQI,DIQ
NISE-OIP,INSEIP-O
CAPRI ANS,S ARIACNP
EBR-SLA,LSEB-RA
MAQG,MQAG
TAA,ATA
TM-Audit,MAuiT-dt
USPe GSCM,eGSMC PSU
pUSP - pSCG, GS-USCp Pp
fw,wf
MOWFM,OWFMM
DCS CR13,S R3D1CC
DCS MCN/ANA,A/ASCNN DCM
GBSOMS,OGMSBS
Amp-MD,-mpADM
IntOS,InSOt
B2BIGW-U,-I2WGUBB
NRS,NRS
OBS-OON,-ONBOOS
TISS,TSSI
BIRT Shared Cost Model,TSRoeoeCd Bd Mrh tlIas
OneTrust ITRM,MIO nRTuesrTt
USP-iDBE-EVO-LABS ,U-E-BiO-ADVBSLE PS
WOMBAT,OWABTM
IDNS-N,N-SIND
CSO Research Website,OSeRits bcW reeCesha
LEP,EPL
AOTS-CM,T-COASM
HDQM,DMQH
NOWSGCGNIS,WNINGSGOSC
CSSWEB,CSWESB
GRP-NSAS_PLATFORM,GNRPLFAMTAOSRP-S_
DATAGATE,AATDEGAT
FACSACCESS,ACSACSCEFS
DG Srvc MidW,W dviScM DGr
IDPASSWORDSERVICE,PIRRWADSVOSEDCIES
WORKFORCEADMIN,AROFMEKCWDONIR
CIRCUITPROVISIONING,NIPTIURVNSIOCIIORCG
CRB,RCB
Newsroom,wrooNsem
MSP LABS, LMSBAPS
ECBR,BCRE
DCRT,RTCD
NISE-WFM,SEFNIW-M
STWS,TSWS
SSFTP,TSSPF
BBGW,BGWB
IBS,SBI
vCR,RvC
SDP ANS,PND ASS
AVUS-IE,AVUIS-E
BGW,GWB
PIM-AZ,PAI-ZM
(FED) - TIDE,(EE-)I FD DT
DNI-CM,-ICNMD
CEM,CME
BUSMKTFIBER,MSKEUBIRTFB
AutoBots,soButtAo
Jenkins,ikJnsen
MBOS,SMBO
GBS,GBS
GRP - PMO TVM, VROPTM P- MG
TTBR,RTTB
TAPS ANS,N TSASAP
FMW,MWF
IM-EPAS 2,EIAS- 2PM
LASR RTU,ARRTLU S
BCeBill_Globys,GlBil_oCselbBy
10DRSS,D1S0SR
TDS EX GW,ESDTG WX 
clec_escalation,ea_satllicnceco
WMS - FDC/PDC - FedEx,x/D-FP dDEMeSC FW C -
TLD-PROD,RL-TPDOD
TALX,TLXA
SOER,REOS
SRC Archer,Rrc ehCSAr
AFSCP,CAFPS
SMNE,SEMN
GFP-Data,taaGDF-P
ITN USP Vendor,T PUSNreoIdnV 
CTOATCA01,1CAOCTAT0
LAB-Sonus-SGX,BuLG-XSAsnS-o
SCO,OCS
Cricket Device Unlock,eoc CkivlDc kitrcenUe
AT&T Toolbar,ao orTTbl&TA
ONENET CUSTOMER PROFILE,CON FEEOOTEEI SULTMRRNP
LSAP,SLPA
TZSS Data Dev,Da SSavZtTe D
ASKME,EKMSA
MARCH,RMCAH
BRAVO - SE,-BRES VO A
DPG - Credit and Collections,sieaP CG clnt rtldienCodo D-
MI,MI
USOC/DB,SUCOBD/
CNRO,ONCR
IPAC,APIC
NOWHOC,NOCWOH
DHUB,DBUH
MyTracker,crkaeTyrM
DHP,HDP
DPSS,SDSP
CodeInsights,IhidgntsCeos
CustPay-ORN,R-uyPCOsNta
CAL-FMW,FWLACM-
PMOSS_Routing-Mon,MP_utM-oSngnoRSiO
TAT,ATT
PMOSS_VoIP,SoS_VPPMOI
CTP-CTC,PT-TCCC
uDASCloud,oDAuluSdC
GRP-ADD,GADP-DR
NSCS,SSNC
JFrog,orgFJ
AZUREML,ULMEZAR
GRP-AKA Vendor Managed, MAoGdKgPar eRVdnnaeA-
ASPDDoS,DDoASPS
NET,ENT
SNAM,AMSN
I-MIG,I-GIM
SOTS,SSTO
Enterprise UI,tEeriprIUsn e
TMAS,STMA
BRIS,SBRI
eBIG,BeIG
USRP,SPUR
ACTS ABS,AS ACTBS
PIZCP-ANRE,RPIP-NCZEA
MOS,SOM
ADAS,SAAD
Armis,Amisr
CBS/Data Loaders,Caotad /BDSLersa
LNP GW,GPWLN 
CONMULE,NMLOECU
External Consumer Interface,e aEtefrma otIrcrxnluCneens
BAS,BAS
BCOS,OCSB
ACP-TMF716,7CT16AFM-P
EPA,PEA
EAS,EAS
DPG - ESADW,-DS EWDAG P
TPG_HUB,U_TPGHB
ABWS-D,SWA-BD
WFO,OFW
EBONDDEI,NOEDIEDB
cSBC QIP,SIQC PBc
AAO,AAO
MSO,OSM
USPe NCS,UPNCS Se
PROST,RTPOS
HPPC-ETQC,-EQCPPCHT
VPNTOOLS,TNOOLSPV
ARCD,CDAR
Kepler-EDGE,pe-lEKrEGDe
CDO-ARCH,C-HRCAOD
MFR,FMR
GRP-BIDW E2E, REDBPW-EGI2
BR/AMI,IRABM/
EVENTIS,INESETV
NOWAP,NPAWO
PTD-BIT,IDTPTB-
OneCollect,tcloClnOee
GICECAP-Framework,rkCFGorCPAmIweaE-
Splunk DET,T EpnSDluk
IMI,IIM
NOWDPM,MNOPWD
NetworkFinance,wtnoekrcNeFian
SOR,SOR
GRP-Duell,lDlP-euGR
PLTP,LPPT
Rogue UE,RgEUueo 
CPBS,PCSB
ATTFEDGOV1,EGVA1TFDOT
ARMS,RAMS
NISE-CORE,NEIORC-ES
CCAR,CRCA
MROBIEE,EERIBMO
ASIST-CCDI,CSCDISTA-I
MOBNT-SSPLAB,PSBOTMBS-NLA
ANT,NAT
FLIVE,VLEFI
Maestro,aMtsore
Speedtrap,Sdpeptrea
GLDC-Laserfiche,rLfacGDsL-heCei
BIDW-MFA,DMWABIF-
PTS ANS,APSSN T
MMSDB,SMDMB
CATCH,TAHCC
DRTAS,RASTD
Granite-NIS,iIGnNtre-aS
CABS-PB (Pacific Bell),A Bc(PlPai-CScBie fl)B
PMOSS_COMPASS,CSAPMOS_SPOSM
ANT FN,ATFNN 
GRP-FOUNDRY EI,YD-OI RNPEGRUF
MDS,DMS
GIOM,IOGM
AET,AET
LISA-DHCP,HILSCP-DA
QLTRCS,TLQRSC
GRP-CDO-EM GOV, -OGGREPOC-MVD
MTLAB-AWS-AZURE,LBTWR-AEAA-ZUSM
GICECAP-E911IP,EC9EGPA-I1IP1C
SAEGW-CP-LAB-BB,SALEAGWBC--BPB-
DP-BRD,DBDP-R
Barracuda WAF,curaWaAradFB 
THO,OTH
Neo-SAEGW,GNAWo-SEe
3i,i3
NetCare,aNeretC
STDXD,DXSDT
RCC-DS,CD-SRC
EFK,FKE
MHWE,EWMH
CHCSLDAP,DCLASPCH
A-TEAM,MEAA-T
RVE,RVE
ADOST,TDAOS
CHCSMETA,SCHEAMCT
iGEMS Mstr,sEMSrMG it
ICAP,PCAI
GTAC - C,CTC AG -
PS-AWS,AW-PSS
GSAA,SAGA
NOWCHM,HOCMNW
NOWITSMCUG,UCWNOSMGIT
NOWDBORI,WBINDOOR
NOWMOBDB,DWBONMBO
SN CM EBOND,BD EONMC NS
SN EXT GPS,XSTNSGP E 
SNHWT,WTHSN
SN - TM,- NMST 
ATTNOW,OWTANT
NOWFSM,OWMFNS
BOM,BOM
SES-SM,SMSES-
MarTech Responsys,rsopcehMseR yTasn
(FED) - CMP, MFC-EP)D (
NOSC,OSCN
NOWATTNOWCG,WNNOGTWOCAT
HR My HQ Ask AT&T Config,RQAnAf s HkTMHi Tg &Cyo 
HR Job Accommodations,A sRonacJomoi otdbmHc
ASRT,RATS
BP Spotlight,tSg hiotlBPp
BCSRS,CRBSS
ABFSWeb,BeAbSFW
PIXC,CIPX
CREOLA-NOW,-LNARWEOCO
ECCD,CEDC
CreditHold,ldCtrodeHi
Sinch Engage,EgeSihgancn 
CRNTDP,DTRNPC
INCM or Voyence,onycV  rNeIeMoC
DASH,DHAS
RACO,CORA
FormBuilder,imlodFrBuer
HR Oracle CX,XOle aR HrCc
SOLRW,SRWOL
FACTS,CAFST
DCAP,DCAP
MI-LS,M-LIS
CDO_SP_Mobility,yioPO_l_DCStMbi
ADW Reporting,ADgRtirpnoeW 
DTV AI,VAD IT
pUSP - pMRF,pM  -RpSUFP
PLANNING-TOOL-CIENA,G-ICOPLNTL-NNONAIAE
GOF,OFG
NIS ATT Collaboration Environment,SCI rnlotno AniaobTrmeEnolN vaiTt
vUSP - vStateDB for CSCF,r SfUtv Dt a- eCSPvoFSCB
ISIPI,PISII
TSDA,ADST
EAST_WLS_PMO_VM,PVM__TLSOA_WMSE
AT&T-Power BI,IAew-PorTTB& 
NCERT,ERTCN
RANOPTOOLS,LOSPNTAOOR
BCLN,NBCL
AGS,GSA
GRP-CQE TDAS,G-SPTCQ DERA
GRP-CQE Digital Test, RaCgDPistTGQiE- etl
GRP-CQE PVT,P RQTPEVG-C
WELM,LEMW
DataSphere,aatepherDS
PCRCS,SCPCR
IDP-CALM,ADL-PMIC
dpilab,bapild
ATTCD,TDTCA
TFN Inventory,yInoNt TvneFr
LCCAM,MACLC
ARMT,RTAM
ACMS - SPECIALS,SMC AI -SESPLAC
DLAQM,LQADM
BMP,BMP
CCMule-PTFM,CFMMulTPe-C
GICECAP-GFI,I-GCGFAPCEI
PONDER,POERND
MILLENNIUM A/R,U RMMINAIL/LEN
SVM,VMS
Mercury,rrecyuM
APT Test & Learn,TtAPsLne rT  &ae
Executive Compensation Online Website,Wvototnl eCesOin neEems bnieuxipcatei
CMDB - C,MD - BCC
RANFT,RATNF
CRU,CRU
DTS-1,TS-D1
SWAT,SATW
VeraSmart,trSaeVamr
HCM-Link,CL-HnMki
UEG 2.0,20G.EU 
VRM,RMV
FirstNet PSE Portals,es ttaNrriFlPoEPtsS 
ESCAPE RAM Web worklist,E lWPeC k rAEowRbitsAMS
BMP Ticket,ciTekt PBM
GARTNERWEB,ARERTNGWBE
Gong,Gnog
DNA.AI,DAIA.N
FM,FM
OCE,EOC
DTV VAMan,VMT nDAaV
GASP,GSAP
TRIAGE,EIGTAR
OMEA,OMEA
GCSBPO,PGSCOB
NCAT,NTCA
Cricket Amdocs BSS,CmcSSrs AdiocB ket
M-Consult,suC-Moltn
ED Recon, oDEeRnc
Cricket ArgomTech,rgthAriCe kemcToc
Cricket Superior Comm,Cerpo riSme iormkCcut
Cricket ADO, CicAkOerDt
CKTTC,KTTCC
Orbix z/OS,/Ob rixzOS
Cricket IVR,Vi ekcrCtRI
CCVS-GBS,SCVCGS-B
CS WFBPM,MP WCFBS
ALERT,LRETA
ELA-PA-QUORUM,QEOLMUARPU--A
Cricket Voyage,cV areektyiogC
Cricket PP,PkPtci rCe
Cricket Mozeus,eou zMsctCriek
Cricket  CA, tc AeikCCr
STRM,SMRT
MetAutwin,wAMnuteit
AIN-ATS,ISNAA-T
NESAC,CNEAS
Enterprise Intrepid,sIdetrprritieEpen n
SJS,SSJ
HP SS, SSHP
vSMSC,MSCSv
Ookla-PROD-BB,kOlRD-PoBOB-a
CloudSOJ,JCdlSuOo
Cisco ISE,CSE socIi
IPSSS,PSISS
SBR,RBS
NTN-PSX-Labs,Nb-NL-SaXPsT
IRRI,RIIR
vSeGW,eWGSv
USP-PSX-Prod,PoP-PS-SdXUr
APCFW,CFWPA
DCROS,CDORS
E911 MantaServer Software,eort9r  nSwteEfarvae11aSM
MHCT,TMHC
DVM,DVM
BATCAVE,ABTECVA
LSMS Production,oLcdiSr tnPMSuo
E2E SPS,P S2SEE
DSR NOAM,M RONDSA
PRIMES,PIRSME
cleg,ecgl
K2/VMS,KVM/S2
impactapps,iaspamtcpp
NDFC,NFDC
ATTM SMRT,SRMTM TTA
UC DID,ID CUD
clsg,lscg
AIMGWvFW,AWMWvIGF
MIND Lab, DLbNIMa
NERS,NERS
PI,PI
CCPS,SPCC
NMT-TroubleShooter,o-MhrtSlbTNeuoreTo
GICECAP-PCI,IEACC-CIPGP
DNS,SDN
vVIG,IvGV
ACTP,ATCP
MDRPS,SRDMP
DOW JONES,OESWJ DON
i2T,2iT
CARC,ARCC
Ribbon-VNI-SWe-PSX-Prod,b-obX-NSPn-oerW-dPIViSR
Ribbon-VNI-DSI,ibS-NbR-oDVInI
Ribbon-USP-vSRE,v-bUbS-iPRoSERn
Ribbon-NTN-PSX,oPRbNn-iTSXN-b
AFIB,BFIA
PMAP,APPM
DHH,DHH
PowerT,wTePor
GPOAdmin,PdmOiAnG
EntraID,IrEnatD
FMP,FPM
AFSC,SAFC
Lab SAM (EMS),L MSS) baM(AE
KMStew,tKeMSw
LFDDF,FDDFL
GRP-IBM MO MF,IP- MBMOR GMF
NC3,N3C
QD:BAQ,DABQ:Q
AMPD,DPMA
TIRKS TFAS,IKSTT SAFR
AlphaSenseCX,lChesnaAXSep
TAO-CMDB,TAC-OMDB
iGEMS-JS-Basic-Platform-C,aM-SJimtri-SEoafBls-GPC-c
TSS Now,TNSSo w
(FED) - FOBPM - OTP,DOTF --  (BMOP)P EF
SSCOTINT,ONISSCTT
LSFTST,SSLFTT
OTMC,OCMT
Oracle AP,cAPalreO 
OALC,LOCA
AFX,FXA
FBOCA,OACBF
NSBP,NPSB
NOWVRCCC,CVCWNRCO
NOWTADFCM,DCMWTNOFA
NOWVRIPANPCC,ONCNCPWAPIVR
NOWVRIT,TIOWVRN
NOWSecIRUI,eNWSIOIUcR
OGSI - CA, OACSG- I
MYCCO,CYCOM
BRM,RBM
APIA,IAAP
ARO,ROA
SvcAmb,bAvmSc
AT&T CCBT,&TBCTAC T
ACTS,SACT
ERBI_DEV,REID_BVE
NOWCMDBCon,DNoOWCnBMC
AUTOGSD,ATDGUOS
TRUE,ture
RTTP,TPRT
Premier,eerimrP
GRP-IBM PIF GROUPS,SOI  -RUBPIGGMPPFR
Veracode,rVdceeoa
ATT-ADAM,AADATTM-
C-BUS,BSUC-
NOWDevOpsDecisionMng,DOiMWgNenecOovsnsDpi
NOWRMgmt,WtRmNMOg
Usg-Mgmt GUIs,sggGtU-UMI sm
CORAL,RCOLA
RCATS RA,RSCA RAT
SN AOTS,ATNSS O
EMM NOW,MWO MNE
ATAS,TSAA
GRP- Hallahan Tech Integration,nacPoelraHh hRtnnel  t-GaIigaT
EBO,EBO
Flow Data,loat FawD
NOWDevOpsDeploymentDataModel,leeDsDOnpMWmvalNtOdopyeoDaet
NOWHealthScanSum,aWSeclumStahHNnO
NOWPDSOPlatAccMgmt,SPOANMttmlWgDcOaPc
NOWSUITSIntegrat,ISSatNrOTWUgIent
ICBS,ISCB
UPSE-SWBT/PB,EUW/-BBSTPSP
IRIS-TIER 2,S -IITRRIE2
IDB-TEXT,DTXTEB-I
SN-GRC,CRGS-N
EDT Ingestion,DEegiTo nnIst
ATSWLBKUP,AKTPUWBLS
vUSP - vLCMA Inst-Orch,vsMPOI hr-LAn U-cCtSv 
Oracle PA,elPAc raO
AIMAX,MXAIA
GFP-CPE-C,PCFE--GCP
SSIM,ISSM
GRP-TVM GVT/HEB,V-BP/EVTGM HTGR
EDI VIEW,E IWDVEI
DCS CRIS ABS,CABI CD SSRS
BMIU,IUBM
vUSP - vPRS, vRS PPUvS-
MODSTER,TREDSMO
SMR-DATA,TDSMAA-R
CBP,PBC
DCS ISSA,IAD SCSS
ATWS,WTAS
Cricket Scout,SiCout krtcec
VBVS,SVVB
CNAM-F5-vDBE-PROD,M5RNCFDDP-OA-E-Bv
CORPTAX,ARCTOXP
CAIRR,CIRAR
CDO_Snowflake,noaSelCOD_fwk
SHMQI,SIHMQ
LDACCESS,LSCADECS
MS-C,-SMC
SoftPhone,oPfonSeth
EC EEM,EME CE
SDP-SP,P-SSDP
GIZMO,ZMGIO
CPCMA,CAMCP
ITL,ITL
CDEDSMD,MDDCESD
BAIS,ASIB
GICECAP-SOMAXVU,SCUXMEIG-PVACAO
PSAT,STAP
DCO,CDO
NPT,NPT
BPP-ADT/ATW,/TPPAT-ABWD
vUSP - vCOM,vvPSC  -MOU
AGT,TGA
EUC,CUE
A-mon,mno-A
International Brazil,oaztann IlltinreariB
FBOAT,BOATF
IPRS2000,RP200SI0
UB,UB
ATTOSS,TASOTS
GBBSO - WebView,BeV- BOeGWSibw 
SPP-DAS,DPS-APS
AIT,IAT
FSDA,SDAF
HITOPS,THSPOI
PRODMAINT,MPTOADNIR
AI-SPM,AIPS-M
MISOP,POMIS
Rel1:ED,1ERelD:
SONGS,GOSNS
SORD-SW,SR-DSWO
Ricoh ADI,o hAIDciR
LSC/DSS,DSSCS/L
Alloy-CP,ACyPl-lo
WHOLESALE ORDER IT,AER EOO RLHSILDWET
ATCS IRES,ISRS TACE
VDMS,MVSD
DBSERVER,EDRBESVR
AMF,AFM
CRISACCESS,SRSICSCCAE
ONPED,ODPNE
Connector,ctoCoenrn
DSL LAB,SBAL LD
RPA FIDELITY,IA FIEPTLYRD
BSSe-BB,S-BBeBS
IBLM - BASIC8,8AC-BLI BIMS 
ELVIS,SILVE
RMCAS,RASMC
E911-EGW,EE-GW119
Ascend,ncdsAe
(FED) - OMX, E(O-M DX)F
ASKTS,SSAKT
MRASLogger,RreLSgogMA
CNAR,NCRA
IDBS - QM,D  BI-SQM
TAXI,XIAT
CABS-SE,SC-SABE
CLSEA,SELCA
OKV,VKO
GRP-Test-N,RetPT-s-GN
GRP-Cascades-PM,-aceGssCMaPdPR-
ITRAC,ARCTI
SMART/FIXITS,IMXSSRITFA/T
PISF,ISPF
